game_id,Season,ConfAbbrev,DayNum,WTeamID,LTeamID
1,2002,ovc,120,3122,3369
2,2002,ovc,120,3184,3293
3,2002,ovc,120,3287,3404
4,2002,ovc,120,3399,3183
5,2002,horizon,121,3139,3460
6,2002,big_south,121,3149,3219
7,2002,big_south,121,3157,3189
8,2002,big_south,121,3251,3421
9,2002,big_south,121,3457,3347
10,2002,southern,122,3111,3172
11,2002,sec,122,3116,3279
12,2002,sec,122,3120,3196
13,2002,southern,122,3158,3190
14,2002,horizon,122,3178,3156
15,2002,sec,122,3208,3104
16,2002,horizon,122,3227,3454
17,2002,maac,122,3233,3351
18,2002,sec,122,3246,3280
19,2002,maac,122,3259,3310
20,2002,horizon,122,3260,3464
21,2002,big_ten,122,3276,3228
22,2002,sun_belt,122,3292,3418
23,2002,sun_belt,122,3308,3114
24,2002,sun_belt,122,3309,3117
25,2002,big_ten,122,3326,3277
26,2002,wcc,122,3337,3211
27,2002,wcc,122,3362,3258
28,2002,wcc,122,3365,3360
29,2002,wcc,122,3388,3339
30,2002,horizon,122,3453,3139
31,2002,big_ten,122,3458,3321
32,2002,sec,123,3116,3376
33,2002,patriot,123,3119,3250
34,2002,patriot,123,3137,3298
35,2002,cusa,123,3150,3272
36,2002,southern,123,3151,3111
37,2002,big_south,123,3157,3457
38,2002,patriot,123,3159,3110
39,2002,horizon,123,3178,3227
40,2002,acc,123,3181,3199
41,2002,a_ten,123,3182,3382
42,2002,maac,123,3193,3145
43,2002,a_ten,123,3200,3173
44,2002,southern,123,3202,3441
45,2002,patriot,123,3221,3248
46,2002,big_ten,123,3231,3234
47,2002,cusa,123,3257,3379
48,2002,sec,123,3261,3246
49,2002,maac,123,3264,3265
50,2002,acc,123,3268,3448
51,2002,a_ten,123,3269,3247
52,2002,pac_ten,123,3332,3450
53,2002,big_ten,123,3336,3326
54,2002,wcc,123,3337,3362
55,2002,big_ten,123,3345,3276
56,2002,wcc,123,3365,3388
57,2002,maac,123,3373,3233
58,2002,cusa,123,3387,3266
59,2002,maac,123,3389,3259
60,2002,sec,123,3397,3208
61,2002,cusa,123,3408,3412
62,2002,pac_ten,123,3417,3143
63,2002,southern,123,3422,3158
64,2002,sec,123,3435,3120
65,2002,horizon,123,3453,3260
66,2002,big_ten,123,3458,3278
67,2002,southern,123,3459,3204
68,2002,a_ten,123,3462,3348
69,2002,pac_ten,124,3113,3112
70,2002,ovc,124,3122,3184
71,2002,southern,124,3151,3459
72,2002,cusa,124,3153,3257
